,PPG,color,color_unit,generic,grain_index,maltster,name
694,35,2,°L,False,708,Any,US Six-Row Pale
695,23,75,°L,False,709,Any,American Crystal Dark - 77L
696,35,2,°L,False,710,Any,Australian Wheat Malt
697,34,5,°L,False,711,Any,Gladfield Ale Malt (NZ)
698,34,10,°L,False,716,Any,Munich Light (CA)
699,29,550,°L,False,493,Any,Roasted Barley (UK)
700,36,2,°L,False,717,Any,Halcyon (UK)
701,37,3,°L,True,718,Any,Golden Promise (UK)
702,34,5,°L,False,719,Any,Malteurop Munich Malt (NZ)
703,34,0,°L,False,720,Any,Glucose
704,31,450,°L,True,721,Thomas Fawcett & Sons,Roasted Barley (UK)
705,36,1,°L,False,722,Thomas Fawcett & Sons,Torrified Wheat
706,38,3,°L,True,723,Any,Pale Ale (BE)
707,33,10,°L,False,724,Thomas Fawcett & Sons,Caramalt
708,36,2,°L,True,725,Any,Pale Wheat (CA)
709,38,1,°L,True,726,Any,Bohemian Pilsner (DE)
710,32,240,°L,True,727,Any,Chocolate Rye (DE)
711,27,3,°L,True,728,Any,Acidulated Malt (DE)
712,37,1,°L,False,729,Any,Pilsner (BE)
713,38,60,°L,False,730,Any,Belgian Candi Sugar - Amber/Brown
714,33,35,°L,False,731,Bairds,Carastan Malt
715,37,8,°L,True,732,Weyermann®,Dark Munich (DE)
716,29,2,°L,True,733,Weyermann®,Rye (DE)
717,32,60,°L,True,734,Bairds,Amber (UK)
718,37,6,°L,True,735,Any,Munich Light (DE)
719,34,30,°L,False,736,Any,Great Western Carastan
720,33,6,°L,False,737,Weyermann®,Bavarian Pilsner
721,36,40,°L,False,738,Any,Belgian Candi Syrup A
722,34,30,°L,True,739,Briess,Caramel/Crystal 30L (US)
723,22,500,°L,False,740,Any,"Black Malt, Organic"
724,37,3,°L,False,741,Any,Pilsner (BE)
725,36,2,°L,False,742,Any,Unmalted Wheat (BE)
726,38,8,°L,False,743,Any,Pale Ale (BE)
